index,titleId,title,types,averageRating,numVotes,isAdult,startYear,runtimeMinutes,genre1,genre2,genre 3
284,tt2147999,Shivam,alternative,9.1,2494,0,2011,22,0,2,3
285,tt2156030,Ayynoorum Ayynthum,imdbDisplay,6,6,0,2012,120,0,2,5
286,tt2181931,Aangilam Vaangilam,alternative,7.8,33397,0,2012,134,6,2,10
287,tt2198161,Anandam Anandame,alternative,7.5,5248,0,2013,159,6,2,10
288,tt2211173,Mahadeera,98,5.6,6548,0,2014,165,0,8,99
289,tt2258337,Naan Ee,imdbDisplay,7.7,21271,0,2012,145,0,6,3
290,tt2262126,Kalakalappu @ Masala Cafe,alternative,6.8,1069,0,2012,135,6,99,99
292,tt2287973,Ragalai,alternative,4.4,2396,0,2012,143,0,99,99
293,tt2334879,White House Vettai,imdbDisplay,6.4,205562,0,2013,131,0,2,8
294,tt2359810,Ambikapathy,alternative,7.6,29388,0,2013,140,2,5,99
295,tt2370244,Aasu Raja Rani Jackie Matrum Joker,alternative,5.2,81,0,2013,146,6,99,99
296,tt2418644,திரைப்படத்தை சோதிக்கிறது,imdbDisplay,7.3,84,0,2010,123,1,12,16
297,tt2448852,Yakshi - Faithfully Yours,imdbDisplay,3.3,28,0,2012,90,13,5,4
298,tt2520342,Sir Vanthara,alternative,4.8,380,0,2012,137,2,5,99
299,tt2555958,Aarambam,98,7,8555,0,2013,157,0,2,14
300,tt2562162,Ivan Veramathiri,working,6,294,0,2013,150,0,8,99
301,tt2575614,Neeya Naana,imdbDisplay,7.9,14,0,2006,90,60,99,99
302,tt2613012,Tamil Padam,98,7.3,801,0,2010,160,6,99,99
303,tt2631186,Baahubali: The Beginning,imdbDisplay,8,102224,0,2015,159,0,2,99
304,tt2654480,Yevanda,alternative,6.1,1061,0,2013,145,0,6,99
305,tt2726796,Junglee Sherni,alternative,6,10,0,2001,150,0,1,2
306,tt2778412,Kavasam,working,6.7,124,0,2010,136,14,8,99
307,tt2793930,Mariyan,working,7.1,2862,0,2013,150,1,2,5
308,tt2905674,Jurassic Avatar,alternative,3.3,1770,0,2015,88,0,1,6
309,tt2938702,Vana Yuddham,imdbDisplay,7,134,0,2013,171,16,7,8
310,tt2939898,Nee Enge En Anbe,alternative,5.6,203,0,2014,145,8,99,99
311,tt3039362,Manjapai,working,6.2,302,0,2014,130,0,6,2
312,tt3114346,555,alternative,5.6,332,0,2013,147,0,99,99
313,tt3161758,Malini 22 Palayamkottai,98,5.2,91,0,2013,131,2,8,99
314,tt3185772,Onaayum Aattukkuttiyum,alternative,8.2,2321,0,2013,141,0,7,8
315,tt3197766,Nizhalyutham,alternative,6.7,6028,0,2015,120,0,1,7
316,tt3232156,Pandianadu,working,7.2,1217,0,2013,144,0,99,99
317,tt3232316,6 Melugu Vathigal,imdbDisplay,7,168,0,2013,129,8,99,99
319,tt3311586,Mandira Kani,98,5.9,7,0,2013,150,13,99,99
320,tt3329246,Pizza 2: The Villa,working,6.4,552,0,2013,102,13,8,99
321,tt3421036,Thirumanam Enum Nikkah,working,5.1,287,0,2014,133,5,99,99
322,tt3540016,Mudinja Ivana Pudi,imdbDisplay,6.6,1028,0,2016,162,0,2,8
323,tt3557988,Bhooloham,working,5.8,671,0,2015,143,0,99,99
324,tt3566718,Valeba Raja,98,4.2,64,0,2016,119,6,99,99
325,tt3638722,En Magan Magizhvan,working,7.8,19,0,2019,106,2,10,11
326,tt3646264,Jagajala Pujabala Thenaliraman,98,5.3,247,0,2014,142,6,17,99
327,tt3681442,Mundasupatti,imdbDisplay,7.6,1190,0,2014,148,6,2,5
328,tt3725026,Muni 3: Kanchana 2,98,5.5,1374,0,2015,166,6,13,99
329,tt3763980,Karka kasadara,imdbDisplay,3.5,11,0,2005,140,2,99,99
330,tt3822410,Sandamarudham,working,4.3,81,0,2015,149,0,8,99
331,tt3885724,Meaghamann,alternative,6.8,537,0,2014,139,0,2,8
332,tt3911870,Iniya iru Malargal,imdbDisplay,3.7,932,0,2014,20,6,2,5
333,tt3973410,Kaaka Muttai,98,8.4,5530,0,2014,91,6,2,99
334,tt3982482,Tamizhuku En Ondrai Azhuthavum,imdbDisplay,7,867,0,2015,141,6,4,8
335,tt4047104,Naalo Okadu,98,7.8,1493,0,2015,136,8,99,99
336,tt4271820,O Kadhal Kanmani,98,7.4,4853,0,2015,139,5,99,99
337,tt4315542,Thunechal,98,3.2,9,0,2010,115,0,99,99
338,tt4322022,Eesan,imdbDisplay,6.6,89,0,2010,164,2,99,99
339,tt4324048,Sidhu +2 1st Attempt,working,4.1,22,0,2010,143,5,99,99
341,tt4328798,Massu Engira Maasilamani,alternative,6,3589,0,2015,151,0,6,13
343,tt4435282,Yagavarayinum Naa Kaakka,98,6.5,477,0,2015,151,8,99,99
344,tt4439194,Uyire Uyire,98,5.1,21,0,2016,150,2,5,99
345,tt4445948,Urumeen,working,4.7,192,0,2015,140,0,3,8
346,tt4507090,Ennai Thalatta Varuvala,imdbDisplay,5.9,54,0,2003,123,0,5,99
